Assembly,State_Name,Party_Name,Party_Type,Party_ID,Frequent_Abbreviation,Last_Abbreviation,Abbreviations,Start_Year,Last_Year,No_Assemblies_Contested,Assemblies_Contested,Candidates_Contested,Candidates_Represented,Females_Contested,Females_Represented,SC_Seats_Contested,SC_Seats_Represented,ST_Seats_Contested,ST_Seats_Represented,BiPoll_Contested
Lok_Sabha,All_States,Revolutionary Socialist Party,State-based Party,12053,RSP,Rashtriya Samaj Paksha,RCP|RSP|SRP,1962,2019,14,3|5|6|7|8|9|10|11|12|13|14|15|16|17,103,45,5,0,25,17,17,10,7
Lok_Sabha,All_States,JANTA PARTY (SECULAR),National Party,15079,JNP(S),JNP(S),JNP(S),1980,1980,1,7,294,41,10,2,48,10,18,0,1
Lok_Sabha,All_States,National Congress Party,State-based Party,5792,NCP,NCP,NCP,1999,2019,5,13|14|15|16|17,309,40,26,7,26,0,30,4,7
Lok_Sabha,All_States,All India Forward Bloc,State-based Party,3040,FBL,AIFB,FB|FBL|AIFB,1962,2019,15,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,243,34,4,0,37,12,7,0,6
Lok_Sabha,All_States,Yuvajana Sramika Rythu Congress Party,State-based Party,8615,YSRCP,YSRCP,YSRCP,2011,2019,3,15|16|17,66,33,9,6,10,5,3,2,3
Lok_Sabha,All_States,Telangana Rashtra Samithi,State-based Party,8284,TRS,TRS,TRS,2004,2019,4,14|15|16|17,72,32,4,3,11,6,4,3,7
Lok_Sabha,All_States,J & K NATIONAL CONFERENCE,State-based Party,11089,JKN,JKN,JKN|NC,1967,2019,11,4|6|7|8|9|12|13|14|15|16|17,49,29,2,2,0,0,0,0,2
Lok_Sabha,All_States,Samyukta Socialist Party,National Party,7619,SSP,SSP,SSP|SOP,1964,2015,5,3|4|5|8|16,223,28,8,1,38,3,13,1,8
Lok_Sabha,All_States,Praja Socialist Party,National Party,6168,PSP,PSP,PSP,1962,2015,4,3|4|5|16,341,27,3,0,47,4,22,0,1
Lok_Sabha,All_States,Jharkhand Mukti Morcha,State-based Party,4653,JMM,JMM,JMM,1984,2019,10,8|9|10|11|12|13|14|15|16|17,195,23,9,1,13,1,59,14,6
Lok_Sabha,All_States,Tamil Maanila Congress  (Moopanar),Local Party,8247,TMC(M),TMC(M),TMC(M),1996,2019,4,11|12|13|17,69,23,0,0,10,3,0,0,0
Lok_Sabha,All_States,Samata Party,National Party,7575,SAP,SAP,SAP,1996,2014,6,11|12|13|14|15|16,202,20,13,0,21,2,7,0,3
Lok_Sabha,All_States,INDIAN NATIONAL CONGRESS (ORG),National Party,3805,NCO,NCO,NCO,1971,1977,2,5|6,260,19,14,0,44,2,11,2,3
Lok_Sabha,All_States,MUSLIM LEAGE,State-based Party,11621,MUL,MUL,ML|MUL,1962,2002,10,3|4|5|6|7|8|9|10|11|13,89,18,1,0,4,0,0,0,1
Lok_Sabha,All_States,Pattali Makkal Katchi,State-based Party,11891,PMK,PMK,PMK,1989,2019,9,9|10|11|12|13|14|15|16|17,123,16,7,0,21,3,0,0,0
Lok_Sabha,All_States,Lok Jan Shakti Party,State-based Party,5029,LJP,LJP,LJNSP|LJP,2004,2019,4,14|15|16|17,160,16,14,3,33,8,8,0,1
Lok_Sabha,All_States,Indian National Congress (U),National Party,3823,INC(U),INC(U),INC(U),1980,1980,1,7,212,13,11,0,26,0,13,2,0
Lok_Sabha,All_States,Marumalarchi Dravida Munnetra Kazhagam,State-based Party,11601,MDMK,MDMK,MDMK,1996,2014,6,11|12|13|14|15|16,50,12,0,0,8,2,0,0,0
Lok_Sabha,All_States,Janata Dal  (Secular),State-based Party,10979,JD(S),JD(S),JD(S)|JD (S),1999,2019,5,13|14|15|16|17,224,11,14,0,32,1,8,1,9
Lok_Sabha,All_States,PEASANT WORKER PARTY,Local Party,12019,PWP,PWPI,PWP|PWPI,1962,2014,13,3|4|5|6|7|8|9|10|11|12|13|14|16,73,10,3,1,4,0,0,0,1
Lok_Sabha,All_States,TELANGANA PRAJA SAMITHI,Local Party,14939,TPS,TPS,TPS,1971,1971,1,5,14,10,0,0,3,3,0,0,0
Lok_Sabha,All_States,All India Majlis-E Ithehad-Ul Muslimeen,State-based Party,706,AIMIM,AIMIM,MIM|AIMIM,1989,2019,9,9|10|11|12|13|14|15|16|17,25,10,1,0,0,0,0,0,0
Lok_Sabha,All_States,Rashtriya Lok Dal,State-based Party,12169,RLD,RLD,RLD,1999,2019,5,13|14|15|16|17,75,10,9,2,14,2,0,0,6
Lok_Sabha,All_States,Asom Gana Parisad,State-based Party,978,AGP,AGP,AGP,1991,2019,8,10|11|12|13|14|15|16|17,77,9,2,0,5,0,6,0,1
Lok_Sabha,All_States,Kerala Congress,State-based Party,4807,KEC,KEC,KEC,1967,2019,13,4|5|6|7|8|9|10|11|12|13|14|15|17,21,8,1,0,1,0,0,0,0
Lok_Sabha,All_States,BANGAL CONGRESS,State-based Party,9026,BAC,BAC,BAC,1967,1971,2,4|5,23,8,0,0,7,1,2,1,2
Lok_Sabha,All_States,Kerala Congress  (M),State-based Party,11341,KEC(M),KEC(M),KCM|KEC(M),1989,2019,9,9|10|11|12|13|14|15|16|17,9,8,0,0,0,0,0,0,0
Lok_Sabha,All_States,Lok Dal,National Party,4996,LKD,LD,LKD|LD,1981,2019,7,7|8|10|11|15|16|17,318,7,15,0,50,1,11,0,18
Lok_Sabha,All_States,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Local Party,17026,SAD(M),SAD(M),SAD(M),1989,2019,9,9|10|11|12|13|14|15|16|17,48,7,2,2,16,2,0,0,1
Lok_Sabha,All_States,Muslim League Kerala State Committee,State-based Party,5501,MUL,MUL,MUL,1998,2009,4,12|13|14|15,46,7,0,0,3,0,0,0,0
Lok_Sabha,All_States,WEST BENGAL TRINAMOOL CONGRESS,Local Party,13066,WBTC,WBTC,WBTC,1998,1998,1,12,29,7,4,2,5,0,1,0,0
Lok_Sabha,All_States,Indian National Lok Da,State-based Party,3863,INLD,INLD,INLD,1999,2019,5,13|14|15|16|17,52,7,3,1,9,2,0,0,2
Lok_Sabha,All_States,Socialist,National Party,12721,SOC,SOC,SOC,1962,1962,1,3,107,6,3,0,20,0,6,2,0
Lok_Sabha,All_States,PREPUBLICAN PARTY OF INDIA,State-based Party,6911,RPI,RPI,RPI|RPG,1967,2019,14,4|5|6|7|8|9|10|11|12|13|14|15|16|17,300,6,7,0,64,2,3,0,7
Lok_Sabha,All_States,Indian Union Muslim League,State-based Party,3952,IUML,IUML,IML|IUML,1989,2019,8,9|10|11|12|13|15|16|17,50,6,1,0,2,0,1,0,1
Lok_Sabha,All_States,Sikkim Democratic Front,State-based Party,7925,SDF,SDF,SDF,1996,2019,7,11|12|13|14|15|16|17,7,6,0,0,0,0,0,0,0
Lok_Sabha,All_States,Expanded Party name not released by the ECI,,17984,NCJ,NCJ,NCJ,1970,1970,1,4,7,5,0,0,0,0,0,0,7
Lok_Sabha,All_States,Indian Congres (Socialist),State-based Party,3372,ICS,ICS,ICS,1984,1998,3,8|11|12,72,5,2,0,6,1,4,1,0
Lok_Sabha,All_States,Haryana Vikas Party,State-based Party,10391,HVP,HVP,HVP,1991,2004,5,10|11|12|13|14,23,5,1,0,3,0,0,0,0
Lok_Sabha,All_States,Aam Aadmi Party,State-based Party,13,AAAP,AAAP,AAAP|AAP,2014,2019,2,16|17,468,5,62,0,68,2,33,0,1
Lok_Sabha,All_States,ALL PARTY HILL LEADER'S CONFERNCE,Local Party,817,AHL,AHL,HLC|AHL,1962,1980,4,3|4|5|7,5,4,0,0,0,0,3,3,1
Lok_Sabha,All_States,GANTANTRA PARISHAD,Local Party,10323,GP,GP,GP,1962,1962,1,3,10,4,0,0,1,1,4,2,0
Lok_Sabha,All_States,Maharashtrawadi Gomantak,Local Party,5270,MAG,MAG,MAG,1971,2009,10,5|6|7|8|9|10|11|12|14|15,17,4,1,1,0,0,0,0,0
Lok_Sabha,All_States,ALL INDIA INDIRA CONGRESS (TIW ARI),State-based Party,8871,AIIC(T),AIIC(T),AIIC(T),1996,1996,1,11,321,4,22,0,42,0,23,1,0
Lok_Sabha,All_States,HARYANA LOK DAL (RASTRIYA),Local Party,10354,HLD(R),HLD(R),HLD(R),1998,1998,1,12,7,4,1,1,1,1,0,0,0
Lok_Sabha,All_States,Jammu & Kashmir Peoples Democratic Party,Local Party,11133,JKPDP,JKPDP,JKPDP|PDP,2002,2019,5,13|14|15|16|17,21,4,3,2,0,0,0,0,2
Lok_Sabha,All_States,All India United Democratic Front,State-based Party,795,AIUDF,AIUDF,AIUDF,2014,2019,2,16|17,21,4,0,0,3,1,0,0,0
Lok_Sabha,All_States,Republican,State-based Party,6921,REP,REP,REP,1962,2012,2,3|15,69,3,2,0,22,1,1,0,1
Lok_Sabha,All_States,AKALI DAL - SANT FATEH SINGH GROUP,Local Party,17049,ADS,ADS,ADS,1967,1967,1,4,8,3,1,1,2,1,0,0,0
Lok_Sabha,All_States,Bharatiya Kranti Dal,National Party,1691,BKD,BKD,BKD,1969,1971,2,4|5,100,3,1,0,20,0,2,0,3
Lok_Sabha,All_States,Autonomous State Demand Committee,Local Party,994,ASDC,ASDC,ADC|ASDC,1991,2019,6,10|11|12|14|15|17,6,3,3,3,0,0,6,3,0
Lok_Sabha,All_States,Nagaland Peoples Party,State-based Party,5671,NPEP,NPEP,NPP|NPEP,1991,2019,4,10|12|16|17,22,3,2,1,1,0,9,3,1
Lok_Sabha,All_States,Samajwadi Janata Party (Rashitriya),Local Party,7408,SJP(R),SJP(R),SJP(R),1998,2014,5,12|13|14|15|16,66,3,3,0,8,0,2,0,0
Lok_Sabha,All_States,Lok Shakti,Local Party,5137,LS,LS,LS,1998,2014,3,12|13|16,46,3,3,0,5,1,1,0,2
Lok_Sabha,All_States,Rashtriya Lok Samta Party,Local Party,16433,BLSP,RLSP,BLSP,2014,2019,2,16|17,9,3,0,0,1,0,0,0,0
Lok_Sabha,All_States,AKHIL BHARATI RAMRAJYA PARISHAD,Local Party,359,RRP,RRP,RRP|ABRRP,1962,1996,6,3|5|6|7|9|11,77,2,3,0,9,0,2,0,0
Lok_Sabha,All_States,AKHIL BHARAT HINDU MAHA SABHA,State-based Party,268,ABHM,ABHM,HMS|ABHM,1962,2019,12,3|5|6|9|10|11|12|13|14|15|16|17,203,2,3,0,17,0,2,0,3
Lok_Sabha,All_States,LOK SEVAK SANGH,Local Party,11536,LSS,LSS,LSS,1962,1971,2,3|5,6,2,0,0,0,0,0,0,0
Lok_Sabha,All_States,UNITED GOANS -  SEQVERIA GROUP,Local Party,16984,UGS,UGS,UGS,1967,1971,2,4|5,3,2,0,0,0,0,0,0,0
Lok_Sabha,All_States,Republican Party of India (Khobragade Group),Local Party,14880,RPK,RPI(KH),RPK|RPI(KH),1971,2019,12,5|6|7|8|9|10|11|12|14|15|16|17,122,2,4,0,29,1,0,0,2
Lok_Sabha,All_States,All India Jharkhand Party,Local Party,685,JKP,JKP,JKP,1971,1977,2,5|6,21,2,1,0,2,0,9,2,0
Lok_Sabha,All_States,UTKAL CONGRESS,State-based Party,8424,UTC,UTC,UTC,1971,1972,1,5,21,2,1,0,3,0,5,0,1
Lok_Sabha,All_States,KERALA CONGRESS (J),State-based Party,4824,KCJ,KCJ,KCJ,1984,1984,1,8,2,2,0,0,0,0,0,0,0
Lok_Sabha,All_States,India Congress (Socialist- Sarat Chandra Sinha),National Party,3411,ICS(SCS),ICS(SCS),ICS(SCS),1989,1991,2,9|10,42,2,3,0,4,0,5,0,0
Lok_Sabha,All_States,Mizo National Front,State-based Party,5430,MNF,MNF,MNF,1989,2019,6,9|10|11|12|14|17,6,2,0,0,0,0,6,2,0
Lok_Sabha,All_States,Apna Dal,Local Party,954,AD,AD,AD,1996,2014,6,11|12|13|14|15|16,290,2,21,1,59,0,5,0,4
Lok_Sabha,All_States,Arunachal Congress,State-based Party,8770,AC,AC,AC,1998,2009,4,12|13|14|15,5,2,0,0,0,0,0,0,0
Lok_Sabha,All_States,Manipur State Congress Party,Local Party,11657,MSCP,MSCP,MSCP,1998,1999,2,12|13,4,2,0,0,0,0,2,0,0
Lok_Sabha,All_States,Akhil Bharatiya Lok Tantrik Congress,Local Party,412,ABLTC,ABLTC,ABLTC,1999,2000,1,13,5,2,1,0,2,1,0,0,1
Lok_Sabha,All_States,Nagaland Peoples Front,State-based Party,5552,NPF,NPF,NPF,2004,2009,2,14|15,4,2,0,0,0,0,2,1,0
Lok_Sabha,All_States,Jharkhand Vikas Morcha (Prajatantrik),Local Party,4736,JVM,JVM,JVM(P)|JVM|J.V.M (P),2007,2019,4,14|15|16|17,37,2,1,0,4,0,10,0,3
Lok_Sabha,All_States,Haryana Janhit Congress (BL),Local Party,3185,HJCBL,HJCBL,HJCBL|HJC(BL),2009,2014,2,15|16,13,2,0,0,3,0,0,0,1
Lok_Sabha,All_States,Viduthalai Chiruthaigal Katch,Local Party,8488,VCK,VCK,VCK,2009,2019,3,15|16|17,12,2,0,0,6,2,0,0,0
Lok_Sabha,All_States,Swabhimani Paksha,Local Party,12961,SWP,SWP,SWP,2009,2019,3,15|16|17,5,2,0,0,0,0,0,0,0
Lok_Sabha,All_States,Naga People's Front,State-based Party,5545,NPF,NPF,NPF,2014,2019,2,16|17,3,2,0,0,0,0,2,1,0
Lok_Sabha,All_States,Nationalist Democratic Progressive Party,,5798,NDPP,NDPP,NDPP,2018,2019,2,16|17,2,2,0,0,0,0,0,0,1
Lok_Sabha,All_States,Apna Dal (Soneylal),,956,ADAL,ADAL,ADAL,2019,2019,1,17,2,2,1,1,1,1,0,0,0
Lok_Sabha,All_States,NUTAN MAHA GUJARAT JANTA PARISHA,Local Party,11789,NJP,NJP,NJP,1962,1962,1,3,3,1,0,0,0,0,0,0,0
Lok_Sabha,All_States,HARIYANA LOK SAMITI,Local Party,10355,HLS,HLS,HLS,1962,1962,1,3,1,1,0,0,0,0,0,0,0
Lok_Sabha,All_States,PRAGATI SHEEL PARTY,Local Party,11985,PSP,PSP,PSP,1964,1999,5,3|4|11|12|13,7,1,1,0,1,0,0,0,4
Lok_Sabha,All_States,Jan Kranti Dal,Local Party,4133,JKD,JKD,JKD,1967,1967,1,4,5,1,2,1,1,0,0,0,0
Lok_Sabha,All_States,NAGALAND NATIONALIST ORGANISATION,Local Party,11810,NNO,NNO,NNO,1967,1967,1,4,1,1,0,0,0,0,0,0,0
Lok_Sabha,All_States,Sanghata Socialist Party,,7650,SSP,SSP,SSP,1968,1970,1,4,6,1,0,0,0,0,1,0,6
Lok_Sabha,All_States,Akhil Bharatiya Jan Sangh,Local Party,9325,ABJS,ABJS,BJS|ABJS,1968,2019,11,4|5|9|10|11|12|13|14|15|16|17,102,1,4,0,6,0,2,0,14
Lok_Sabha,All_States,VISHAL HARYANA,Local Party,14945,VHP,VHP,VHP,1971,1977,2,5|6,9,1,1,0,1,0,0,0,0
Lok_Sabha,All_States,MANIPUR PEOPLE PARTY,State-based Party,14852,MPP,MPEP,MRP|MPP|MPEP,1971,2019,12,5|6|7|8|9|10|11|12|13|14|15|17,13,1,2,0,0,0,3,0,0
Lok_Sabha,All_States,UNITED FRONT OF NAGALAND,Local Party,8384,UFN,UFN,UFN,1971,1971,1,5,1,1,0,0,0,0,0,0,0
Lok_Sabha,All_States,Jharkhand,Local Party,4717,JKP,JKP,JKD|JKP,1977,2019,11,6|7|8|10|11|12|13|14|15|16|17,86,1,3,0,6,0,36,1,0
Lok_Sabha,All_States,UNIted Democratic Front,State-based Party,8374,UDF,UDF,UDF,1977,1980,2,6|7,2,1,2,1,0,0,0,0,0
Lok_Sabha,All_States,SIKKIM JANATA PARISHAD,Local Party,15138,SJP,SJP,SJP,1980,1980,1,7,1,1,0,0,0,0,0,0,0
Lok_Sabha,All_States,INDIAN CONGRESS (J),State-based Party,15232,ICJ,ICJ,ICJ,1984,1984,1,8,35,1,0,0,9,1,0,0,0
Lok_Sabha,All_States,Palin Tribals Councils of Assam,Local Party,5952,PTC,PTCA,PTC|PTCA,1985,1998,3,8|10|12,6,1,0,0,0,0,3,1,0
Lok_Sabha,All_States,Indian People's Front,Local Party,10840,IPF,IPF,IPF,1989,1991,2,9|10,36,1,1,0,5,0,2,0,0
Lok_Sabha,All_States,MARXIST (CO-ORDINATION),Local Party,11559,MCO,MCO,M-COR|MCO,1989,2014,8,9|10|11|12|13|14|15|16,9,1,0,0,0,0,0,0,0
Lok_Sabha,All_States,Nagaland Peoples Council,Local Party,11819,NPC,NPC,NPC,1989,1991,2,9|10,2,1,0,0,0,0,0,0,0
Lok_Sabha,All_States,SIKKIMSAGRAM PARISHAD,National Party,12871,SSP,SSP,SSP,1989,1989,1,9,1,1,0,0,0,0,0,0,0
Lok_Sabha,All_States,Gorakha National Liberation Front,Local Party,10319,GNLF,GNLF,GNLF,1989,1989,1,9,1,1,0,0,0,0,0,0,0
Lok_Sabha,All_States,United Minorities Front Assam,Local Party,13028,UMFA,UMFA,UMF|UMFA,1991,2004,5,10|11|12|13|14,11,1,0,0,0,0,0,0,0
Lok_Sabha,All_States,Republican Party of India (A),State-based Party,12285,RPI(A),RPI(A),RPI(A),1991,2019,7,10|11|13|14|15|16|17,150,1,16,0,27,1,4,0,5
Lok_Sabha,All_States,Janata Dal (Gujrat),Local Party,10960,JD(G),JD(G),JD(G),1991,1991,1,10,10,1,1,0,1,0,1,1,0
Lok_Sabha,All_States,Sikkim Sangram Parishad,National Party,7945,SSP,SSP,SSP,1991,2004,4,10|11|13|14,5,1,1,1,0,0,0,0,0
Lok_Sabha,All_States,JANTA DAL (B),State-based Party,4557,JD(B),JD(B),JD(B),1993,1993,1,10,1,1,0,0,0,0,0,0,1
Lok_Sabha,All_States,Communist Party of India  (Marxist-Leninist)  (Liberation),Local Party,2472,CPI(ML)(L),CPI(ML)(L),CPI(ML)(L)|CPI(M0L)(L)|CPI(ML)L|CPI(Marxist),1996,2019,7,11|12|13|14|15|16|17,310,1,37,1,45,0,25,1,4
Lok_Sabha,All_States,United Goans Democratic Party,Local Party,8392,UGDP,UGDP,UGDP,1996,2009,5,11|12|13|14|15,6,1,1,0,0,0,1,0,0
Lok_Sabha,All_States,KARNATAKA CONGRESS PARTY,Local Party,4783,KCP,KCP,KCP,1996,1996,1,11,11,1,1,0,2,0,0,0,0
Lok_Sabha,All_States,MADHYA PRADESH VIKAS CONGRESS,Local Party,11648,MPVC,MPVC,MPVC,1996,1996,1,11,1,1,0,0,0,0,0,0,0
Lok_Sabha,All_States,Bharipa Bahujan Mahasangh,Local Party,1875,BBM,BBM,BBM,1996,2019,6,11|13|14|15|16|17,90,1,5,0,9,0,8,0,2
Lok_Sabha,All_States,BHARATIYA KRANTIKARI KAMMAND PARTY,Local Party,9360,BKKP,BKKP,BKKP,1997,1998,2,11|12,3,1,0,0,0,0,0,0,1
Lok_Sabha,All_States,All India Rashtriya Janata Party,Local Party,8896,AIRJP,AIRJP,AIRJP,1998,1998,1,12,38,1,2,0,4,0,3,0,0
Lok_Sabha,All_States,ALL INDIA INDIRA CONGRESS (SECULAR),State-based Party,8856,AIIC(S),AIIC(S),AIIC(S),1998,1998,1,12,9,1,0,0,0,0,0,0,0
Lok_Sabha,All_States,National Loktantrik Party,Local Party,5631,NLP,NLP,NLP,1998,2014,5,12|13|14|15|16,79,1,1,0,7,0,2,0,2
Lok_Sabha,All_States,Himachal Vikas Congress,Local Party,10389,HVC,HVC,HVC,1998,1999,2,12|13,5,1,0,0,2,1,0,0,0
Lok_Sabha,All_States,M.G.R.Anna D.M.Kazhagam,Local Party,11561,MADMK,MADMK,MADMK,1998,1999,2,12|13,4,1,1,0,0,0,0,0,0
Lok_Sabha,All_States,Bharatiya Navshakti party,Local Party,1748,BNP,BNP,BNP,2004,2004,1,14,4,1,0,0,0,0,4,1,0
Lok_Sabha,All_States,AJSU Party,Local Party,8958,AJSUP,AJSUP,AJSU|AJSUP|AJSU Party,2004,2019,4,14|15|16|17,24,1,1,0,1,0,8,0,2
Lok_Sabha,All_States,Indian Federal Democratic Party,Local Party,3420,IFDP,IFDP,IFDP,2004,2004,1,14,1,1,0,0,0,0,0,0,0
Lok_Sabha,All_States,Assam United Democratic Front,State-based Party,988,AUDF,AUDF,AUDF,2009,2009,1,15,25,1,2,0,5,0,0,0,0
Lok_Sabha,All_States,Bodaland Peoples Front,Local Party,9451,BOPF,BOPF,BOPF,2009,2019,3,15|16|17,5,1,1,0,0,0,3,1,0
Lok_Sabha,All_States,Bahujan Vikas Aaghadi,Local Party,9677,BVA,BVA,BVA,2009,2019,3,15|16|17,4,1,0,0,0,0,4,1,1
Lok_Sabha,All_States,All India N.R. Congress,Local Party,737,AINRC,AINRC,AINRC,2014,2019,2,16|17,2,1,0,0,0,0,0,0,0
Lok_Sabha,All_States,Sikkim Krantikari Morcha,Local Party,16569,SKM,SKM,SKM,2014,2019,2,16|17,2,1,0,0,0,0,0,0,0
Lok_Sabha,All_States,Rashtriya Loktantrik Party,,6715,RaLtP,RLTP,RLTP,2019,2019,1,17,1,1,0,0,0,0,0,0,0
Lok_Sabha,All_States,SOCIALIST LABOUR,Local Party,12684,SL,SL,SL,1962,1962,1,3,1,0,0,0,0,0,0,0,0
Lok_Sabha,All_States,TAMIL NATIONAL PARTY,Local Party,12996,TNP,TNP,TNP,1962,1962,1,3,2,0,0,0,1,0,0,0,0
Lok_Sabha,All_States,WE TAMIL,Local Party,13068,WT,WT,WT,1962,1962,1,3,1,0,0,0,0,0,0,0,0
Lok_Sabha,All_States,EASTERN INDIAN TRIBAL UNION,Local Party,10231,EIT,EIT,EIT,1962,1962,1,3,2,0,0,0,0,0,1,0,0
Lok_Sabha,All_States,GORKHA LEAGUE,Local Party,10310,GL,GL,GL,1962,1962,1,3,1,0,0,0,0,0,0,0,0
Lok_Sabha,All_States,UNITED GOANS -  FURTADD GROUP,Local Party,13020,UGF,UGF,UGF,1967,1967,1,4,1,0,1,0,0,0,0,0,0
Lok_Sabha,All_States,DEMOCRATIC NATIONAL CONFERENCE,Local Party,2920,DNC,DNC,DNC,1967,1967,1,4,1,0,0,0,0,0,0,0,0
Lok_Sabha,All_States,Jan Congress,Local Party,4124,JAC,JAC,JAC,1967,1971,2,4|5,5,0,0,0,1,0,0,0,0
Lok_Sabha,All_States,PEOPLES FRONT,Local Party,6046,PFR,PFR,PFR,1967,1967,1,4,1,0,0,0,0,0,0,0,0
Lok_Sabha,All_States,AKALI DAL - MASTER TARA SINGH,Local Party,17047,ADM,ADM,ADM,1967,1967,1,4,7,0,0,0,3,0,0,0,0
Lok_Sabha,All_States,REPUBLICAN PARTY OF INDIA (AMBEDKARITE),Local Party,7103,RPA,RPA,RPA,1969,1971,2,4|5,4,0,0,0,0,0,0,0,1
Lok_Sabha,All_States,NATIONAL CONVENTION OF NAGALAND,,5586,NCN,NCN,NCN,1970,1970,1,4,4,0,0,0,0,0,0,0,4
Lok_Sabha,All_States,PROGRESSIVE MUSLIM LEAGUE,,6207,PML,PML,PML,1970,1970,1,4,1,0,0,0,0,0,0,0,1
Lok_Sabha,All_States,MUSLIM MAJLIS,Local Party,5525,MUM,MUM,MUM,1970,1989,3,4|7|9,7,0,0,0,2,0,0,0,1
Lok_Sabha,All_States,MINORITIES LABOUR PARTY,Local Party,14853,MLP,MLP,MLP,1971,1971,1,5,6,0,0,0,1,0,0,0,0
Lok_Sabha,All_States,TELANGANA CONGRESS,State-based Party,14938,TEC,TEC,TEC,1971,1971,1,5,7,0,1,0,2,0,0,0,0
